Title,Erf_Size,No_Of_Bedrooms,No_Of_Bathrooms,No_Of_Garages,Price
3 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        300
                    </span>",3,"3,5",Erf Size:300m²,P 1 250 000
4 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        525
                    </span>",4,"2,5",Erf Size:525m²,P 680 000
4 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        615
                    </span>",4,3,Erf Size:615m²,P 1 800 000
3 Bedroom House for sale in Block 7,"<span class=""sizeUnits"">
                        400
                    </span>",3,2,Erf Size:400m²,P 1 100 000
3 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        450
                    </span>",3,2,1,P 1 300 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        7 620
                    </span>",4,4,4,P 8 500 000
3 Bedroom House for sale in Kgale,"<span class=""sizeUnits"">
                        1 268
                    </span>",3,2,2,P 1 800 000
4 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        525
                    </span>",4,"2,5",Erf Size:525m²,P 680 000
3 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        413
                    </span>",3,3,,P 1 650 000
4 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1 120
                    </span>",4,3,2,P 5 100 000
4 Bedroom House for sale in Gaborone West Phase 1,"<span class=""sizeUnits"">
                        1 167
                    </span>",4,4,,P 2 890 000
4 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        967
                    </span>",4,3,2,P 3 200 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 400
                    </span>",5,4,2,P 3 900 000
5 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        1 004
                    </span>",5,5,Erf Size:1 004m²,P 4 600 000
4 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        402
                    </span>",4,2,,P 2 650
3 Bedroom House for sale in Phakalane Golf Estate,,3,3,2,P 6 200 000
3 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        417
                    </span>",3,2,Erf Size:417m²,P 1 300 000
3 Bedroom House for sale in Broadhurst,,3,1,,P 1 600 000
3 Bedroom House for sale in Gaborone North,,3,2,2,P 1 500 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        840
                    </span>",3,2,2,P 950 000
3 Bedroom House for sale in Tsholofelo East,"<span class=""sizeUnits"">
                        308
                    </span>",3,2,Erf Size:308m²,P 1 080 000
4 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        600
                    </span>",4,4,2,P 2 100 000
4 Bedroom House for sale in Gaborone West Phase 2,"<span class=""sizeUnits"">
                        450
                    </span>",4,4,1,P 1 450 000
4 Bedroom House for sale in Gaborone West Phase 2,"<span class=""sizeUnits"">
                        450
                    </span>",4,4,1,P 1 550 000
6 Bedroom House for sale in Maruapula,"<span class=""sizeUnits"">
                        2,040
                    </span>",6,6,,P 5 400 000
10 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,167
                    </span>",10,10,"Erf Size:1,167m²",P 4 200 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,037
                    </span>",5,3,2,P 3 420 000
4 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1,235
                    </span>",4,4,2,P 14 500 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        510
                    </span>",3,2,Erf Size:510m²,P 1 700 000
3 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        500
                    </span>",3,2,Erf Size:500m²,P 2 120 000
3 Bedroom House for sale in Broadhurst,,3,2,,P 1 800 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        768
                    </span>",5,3.5,Erf Size:768m²,P 2 750 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,186
                    </span>",3,2,"Erf Size:1,186m²",P 2 000 000
3 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        651
                    </span>",3,4,Erf Size:651m²,P 950 000
3 Bedroom House for sale in Block 10,,3,3,1,P 1 250 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        750
                    </span>",4,3,2,P 2 500 000
4 Bedroom House for sale in Gaborone North,"<span class=""sizeUnits"">
                        770
                    </span>",4,4.5,2,P 2 450 000
7 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        508
                    </span>",7,3,,P 1 290 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,400
                    </span>",4,3,2,P 3 900 000
6 Bedroom House for sale in Gaborone West Phase 1,"<span class=""sizeUnits"">
                        1,350
                    </span>",6,3,2,P 3 550 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        750
                    </span>",4,3,2,P 2 500 000
3 Bedroom House for sale in Block 10,,3,3.5,1,P 1 250 000
4 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1,127
                    </span>",4,3,2,P 5 000 000
4 Bedroom House for sale in Tsholofelo,"<span class=""sizeUnits"">
                        457
                    </span>",4,2,2,P 1 700 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1,075
                    </span>",4,3,,P 2 700 000
3 Bedroom House for sale in Phakalane Golf Estate,"<span class=""sizeUnits"">
                        1,020
                    </span>",3,3,2,P 6 200 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        510
                    </span>",3,2,2,P 1 750 000
3 Bedroom House for sale in Broadhurst,"<span class=""sizeUnits"">
                        1,605
                    </span>",3,2,,P 3 100 000
5 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        805
                    </span>",5,5.5,2,P 4 500 000
3 Bedroom House for sale in Block 8,,3,2,,P 1 300 000
4 Bedroom House for sale in Phakalane,,4,3,2,P 3 600 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        510
                    </span>",3,2,2,P 1 750 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        600
                    </span>",4,2.5,Erf Size:600m²,P 1 750 000
4 Bedroom House for sale in Block 8,"<span class=""sizeUnits"">
                        967
                    </span>",4,2,2,P 2 680 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        787
                    </span>",3,2.5,Erf Size:787m²,P 2 500 000
3 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        807
                    </span>",3,1,Erf Size:807m²,P 1 400 000
3 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        450
                    </span>",3,3,,P 1 200 000
4 Bedroom House for sale in Extension 11,"<span class=""sizeUnits"">
                        1,765
                    </span>",4,3,2,P 7 500 000
4 Bedroom House for sale in Phakalane,,4,2,2,P 1 900 000
5 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1,307
                    </span>",5,4,,P 3 400 000
3 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        510
                    </span>",3,3,2,P 1 800 000
4 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        7,373
                    </span>",4,4,1,P 1 500 000
3 Bedroom House for sale in Block 9,"<span class=""sizeUnits"">
                        736
                    </span>",3,2,2,P 2 400 000
4 Bedroom House for sale in Block 10,"<span class=""sizeUnits"">
                        508
                    </span>",4,2,Erf Size:508m²,P 1 350 000
3 Bedroom House for sale in Gaborone West Phase 2,"<span class=""sizeUnits"">
                        450
                    </span>",3,2,,P 1 300 000
4 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        1 500
                    </span>",4,5,2,P 3 950 000
3 Bedroom House for sale in Phakalane,"<span class=""sizeUnits"">
                        598
                    </span>",3,2,1,P 1 700 000
5 Bedroom House for sale in Ruretse,"<span class=""sizeUnits"">
                        4
                    </span>",5,3,,P 3 800 000
3 Bedroom House for sale in Notwane,"<span class=""sizeUnits"">
                        4
                    </span>",3,2,,P 2 950 000
4 Bedroom House for sale in Gaborone,"<span class=""sizeUnits"">
                        1 160
                    </span>",4,"3,5",2,P 5 990 000
3 Bedroom House for sale in Gaborone West Phase 2,"<span class=""sizeUnits"">
                        450
                    </span>",3,2,,P 1 300 000
3 Bedroom House for sale in Block 6,"<span class=""sizeUnits"">
                        525
                    </span>",3,3,,P 1 200 000
