,Title,Bedrooms,Bathrooms,Garage,Size,Price
0,4 Bedroom House For Sale in Block 8,4,3,N/A,615m2,BWP 1 800 000
1,3 Bedroom House For Sale in Phakalane Golf Estate,3,3,2,N/A,BWP 6 200 000
2,4 Bedroom House For Sale in Block 8,4,3,2,967m2,BWP 3 200 000
3,4 Bedroom House For Sale in Gaborone West Phase 1,4,4,N/A,1167m2,BWP 2 890 000
4,3 Bedroom House For Sale in Phakalane,3,2,2,708m2,BWP 2 350 000
5,3 Bedroom House For Sale in Block 10,3,2,1,437m2,BWP 1 600 000
6,4 Bedroom House For Sale in Block 9,4,4,2,600m2,BWP 2 100 000
7,3 Bedroom House For Sale in Block 7,3,2,N/A,300m2,BWP 850 000
8,4 Bedroom House For Sale in Gaborone West Phase 2,4,4,1,450m2,BWP 1 550 000
9,4 Bedroom House For Sale in Gaborone West Phase 2,4,4,1,450m2,BWP 1 450 000
10,5 Bedroom House For Sale in Gaborone North,5,2,2,1645m2,BWP 2 600 000
11,10 Bedroom House For Sale in Gaborone,10,10,N/A,1167m2,BWP 4 200 000
12,6 Bedroom House For Sale in Phakalane,6,4,3,1414m2,BWP 5 500 000
13,5 Bedroom House For Sale in Block 8,5,5,N/A,587m2,BWP 4 600 000
14,3 Bedroom House For Sale in Gaborone,3,2,2,840m2,BWP 950 000
15,4 Bedroom House For Sale in Mokolodi 2,4,3,4,2.7ha,BWP 3 600 000
16,4 Bedroom House For Sale in Phakalane,4,3,2,832m2,BWP 5 350 000
17,4 Bedroom House For Sale in Extension 11,4,3,2,1765m2,BWP 7 500 000
18,6 Bedroom House For Sale in Gaborone,6,2,3,684m2,BWP 3 300 000
19,4 Bedroom House For Sale in Mokolodi 1,4,4,2,2550m2,BWP 3 300 000
20,4 Bedroom House For Sale in Tsholofelo,4,2,2,457m2,BWP 1 700 000
21,5 Bedroom House For Sale in Phakalane,5,3,2,1037m2,BWP 3 420 000
22,4 Bedroom House For Sale in Phakalane,4,3,2,750m2,BWP 2 500 000
23,3 Bedroom House For Sale in Tsholofelo East,3,2,N/A,121m2,BWP 1 080 000
24,6 Bedroom House For Sale in Gaborone West Phase 1,6,3,2,1350m2,BWP 3 550 000
25,4 Bedroom House For Sale in Gaborone North,4,2,2,625m2,BWP 1 500 000
26,3 Bedroom House For Sale in Maruapula,3,1,N/A,450m2,BWP 620 000
27,3 Bedroom House For Sale in Phakalane,3,2,1,598m2,BWP 1 700 000
28,3 Bedroom House For Sale in Phakalane,3,2,N/A,N/A,BWP 1 700 000
29,3 Bedroom House For Sale in Block 10,3,2,1,N/A,BWP 1 650 000
30,4 Bedroom House For Sale in Gaborone North,4,2,1,752m2,BWP 1 800 000
31,3 Bedroom House For Sale in Block 10,3,2,2,220m2,BWP 1 750 000
32,3 Bedroom House For Sale in Block 9,3,2,2,736m2,BWP 2 400 000
33,5 Bedroom House For Sale in Phakalane,5,4,1,612m2,BWP 2 500 000
34,3 Bedroom House For Sale in Block 9,3,2,1,494m2,BWP 1 180 000
