,Title,Location,Remax_Description,P24_Link,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Agency,Price
0,16 Bedroom House,Gaborone,"MOGODITSHANE CENTRAL- centrally situated, 3986m2 plot with 8 very appealing units, 6 are 2 bedrooms, one has 3 bedrooms with 2 bathrooms (master ensuite). There is also one bachelor unit with 1 bedroom, lounge and bathroom. The complex is walled with a guard house or bachelor unit, electric gate, all house have their o",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/16-bedroom-house-for-sale-in-gaborone-4173226,16,9,,,Remax,BWP 3 000 000
1,3 Bedroom House,Gaborone,"BROADHURST | TAPOLOGO AREA: 3 bedroomed house in a good location. This home boasts spacious lounge open plan with dining, separate kitchen, 2 bathrooms of which one is an ensuite. This property has 2 self-contained cottages: one bedroom, lounge, kitchen and bathroom each. This could also work well as an investment prop",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/3-bedroom-house-for-sale-in-gaborone-4347786,3,2,,New,Remax,BWP 1 700 000
2,Commercial Property,Gaborone,"CBD - iTowers office space: Approx 174 sqm2 of prime space which is rarely available. Featuring a reception area, 2 partitioned offices, a boardroom, an open-plan office space. kitchenette plus 2 private restrooms. Also available 4 dedicated parking spaces. VAT Applicable. Please call Thalia - 72575773.",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/gaborone/-commercial-property-for-sale-in-gaborone-4346153,,2,,New,Remax,BWP 4 737 000
3,Commercial Property,Gabane Cent,"GABANE: 4.10 Hectare farm in a very great location, just a stone throw away from the village. This farm is situated in an estate of 4 plus hectare farms. These farms are zoned for Agro- tourism. There is a borehole with yield of 4.5cc per hour in one of the farms, this gives good indication of availability of water in",https://www.remax.co.za/property/for-sale/botswana/kweneng-district/gabane/gabane-central/-commercial-property-for-sale-in-gabane-central-4345549,,,,,Remax,BWP 1 030 000
4,Commercial Property,Gabane Cent,"GABANE: 4.10 Hectare farm in a very great location, just a stone throw away from the village. This farm is situated in an estate of 4 plus hectare farms. These farms are zoned for Agro- tourism. There is a borehole with yield of 4.5cc per hour in one of the farms, this gives good indication of availability of water in",https://www.remax.co.za/property/for-sale/botswana/kweneng-district/gabane/gabane-central/-commercial-property-for-sale-in-gabane-central-4345542,,,,,Remax,BWP 1 030 000
5,Commercial Property,Gabane Cent,"GABANE: 4.43 Hectare farm in a very great location, just a stone throw away from the village. This farm is situated in an estate of 4 plus hectare farms. These farms are zoned for Agro- tourism. There is a borehole with yield of 4.5cc per hour in one of the farms, this gives good indication of availability of water in",https://www.remax.co.za/property/for-sale/botswana/kweneng-district/gabane/gabane-central/-commercial-property-for-sale-in-gabane-central-4345354,,,,,Remax,BWP 1 110 000
6,3 Bedroom House,Block 5,"BLOCK 5: In a sought-after location close to schools in the area. This appealing home has a lovely, fitted kitchen, large lounge, separate dining space, 3 bedrooms, 2 bathrooms, staff quarters, carport, large spacious garden. Plenty of space to add onto the house. Land size 928m2. Please call or whats app Lynn 74329188",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/block-5/3-bedroom-house-for-sale-in-block-5-4286206,3,2,,Offer Made,Remax,BWP 1 700 000
7,4 Bedroom House,Mokolodi 2,"MOKOLODI 2: A one of a kind masterpiece home designed with elegance and class. Nestled in the prestigious Mokolodi Conservancy with stunning views of the Gaborone dam in the distance. The magnificent home is surrounded by natural indigenous vegetation and bird life.
As you enter this magnificent home, you pass by beaut",https://www.remax.co.za/property/for-sale/botswana/south-east-district/gaborone/mokolodi-2/4-bedroom-house-for-sale-in-mokolodi-2-4287133,4,4,,,Remax,BWP 17 000 000
8,3 Bedroom House,Lobatse Central,"LOBATSE - Located in a scenic location of Lobatse is this spacious 3-bedroom home set on a 651m2 plot. Featuring a large entrance hall leading to the lounge with a fireplace, a dining area and lovely light plus a bright big kitchen. There are 2 bedrooms; one of which is ensuite and there's a guest toilet. Spacious yard",https://www.remax.co.za/property/for-sale/botswana/south-east-district/lobatse/lobatse-central/3-bedroom-house-for-sale-in-lobatse-central-4329421,3,2,,New,Remax,BWP 1 250 000
9,3 Bedroom House,Kopong Central,"KOPONG: This neat family home offers 3 bedrooms, 2 bathrooms, lounge, dining room, 1-bedroom bachelor pad. Lapa for entertainment area. Walled with electric fence. Available to view.",https://www.remax.co.za/property/for-sale/botswana/kweneng-district/kopong/kopong-central/3-bedroom-house-for-sale-in-kopong-central-4332690,3,2,,New,Remax,BWP 1 000 000
